original_ds,df,RiscoOriginal,RiscoTransformado,UtilOriginal,UtilTransformado,model
ds32,ds32_transf2_qi2.csv,0.004392056,0.002179271,0.699280848,0.683643416,Logistic Regression
ds32,ds32_transf2_qi2.csv,0.004392056,0.002179271,0.699280848,0.683643416,Logistic Regression
ds32,ds32_transf2_qi2.csv,0.004392056,0.002179271,0.793354656,0.706976966,Logistic Regression
ds32,ds32_transf2_qi2.csv,0.004392056,0.002179271,0.793354656,0.706976966,Logistic Regression
ds32,ds32_transf2_qi2.csv,0.004392056,0.002179271,0.794201723,0.712620546,Logistic Regression
ds32,ds32_transf2_qi2.csv,0.004392056,0.002179271,0.794201723,0.712620546,Logistic Regression
ds32,ds32_transf1_qi2.csv,0.004392056,0.002179271,0.699280848,0.693424067,Logistic Regression
ds32,ds32_transf1_qi2.csv,0.004392056,0.002179271,0.699280848,0.693424067,Logistic Regression
ds32,ds32_transf1_qi2.csv,0.004392056,0.002179271,0.793354656,0.780708434,Logistic Regression
ds32,ds32_transf1_qi2.csv,0.004392056,0.002179271,0.793354656,0.780708434,Logistic Regression
ds32,ds32_transf1_qi2.csv,0.004392056,0.002179271,0.794201723,0.777138765,Logistic Regression
ds32,ds32_transf1_qi2.csv,0.004392056,0.002179271,0.794201723,0.777138765,Logistic Regression
ds32,ds32_transf0_qi2.csv,0.004392056,0.002179271,0.699280848,0.698629157,Logistic Regression
ds32,ds32_transf0_qi2.csv,0.004392056,0.002179271,0.699280848,0.698629157,Logistic Regression
ds32,ds32_transf0_qi2.csv,0.004392056,0.002179271,0.793354656,0.739325289,Logistic Regression
ds32,ds32_transf0_qi2.csv,0.004392056,0.002179271,0.793354656,0.739325289,Logistic Regression
ds32,ds32_transf0_qi2.csv,0.004392056,0.002179271,0.794201723,0.739892547,Logistic Regression
ds32,ds32_transf0_qi2.csv,0.004392056,0.002179271,0.794201723,0.739892547,Logistic Regression
ds32,ds32_transf0_qi3.csv,0.019655019,0.008931021,0.699280848,0.696723049,Logistic Regression
ds32,ds32_transf0_qi3.csv,0.019655019,0.008931021,0.699280848,0.696723049,Logistic Regression
ds32,ds32_transf0_qi3.csv,0.019655019,0.008931021,0.793354656,0.786236985,Logistic Regression
ds32,ds32_transf0_qi3.csv,0.019655019,0.008931021,0.793354656,0.786236985,Logistic Regression
ds32,ds32_transf0_qi3.csv,0.019655019,0.008931021,0.794201723,0.785273474,Logistic Regression
ds32,ds32_transf0_qi3.csv,0.019655019,0.008931021,0.794201723,0.785273474,Logistic Regression
ds8,ds8_transf2_qi2.csv,0.024700777,0.009030506,0.698547783,0.703535518,Logistic Regression
ds8,ds8_transf2_qi2.csv,0.024700777,0.009030506,0.698547783,0.703535518,Logistic Regression
ds8,ds8_transf2_qi2.csv,0.024700777,0.009030506,0.83074029,0.827686356,Logistic Regression
ds8,ds8_transf2_qi2.csv,0.024700777,0.009030506,0.83074029,0.827686356,Logistic Regression
ds8,ds8_transf2_qi2.csv,0.024700777,0.009030506,0.830668527,0.828880082,Logistic Regression
ds8,ds8_transf2_qi2.csv,0.024700777,0.009030506,0.830668527,0.828880082,Logistic Regression
ds8,ds8_transf0_qi2.csv,0.024700777,0.009030506,0.698547783,0.703998966,Logistic Regression
ds8,ds8_transf0_qi2.csv,0.024700777,0.009030506,0.698547783,0.703998966,Logistic Regression
ds8,ds8_transf0_qi2.csv,0.024700777,0.009030506,0.83074029,0.827707081,Logistic Regression
ds8,ds8_transf0_qi2.csv,0.024700777,0.009030506,0.83074029,0.827707081,Logistic Regression
ds8,ds8_transf0_qi2.csv,0.024700777,0.009030506,0.830668527,0.828238472,Logistic Regression
ds8,ds8_transf0_qi2.csv,0.024700777,0.009030506,0.830668527,0.828238472,Logistic Regression
ds8,ds8_transf1_qi2.csv,0.024700777,0.009030506,0.698547783,0.703535518,Logistic Regression
